cond_mt_lowcrust_conus117_250m,PosSite_Distance
4.785073,559.01697
4.785073,353.5534
4.785073,250
4.785073,353.5534
4.785073,559.01697
4.785073,500
4.785073,250
4.785073,0
4.785073,250
4.785073,500
4.785073,559.01697
4.785073,353.5534
4.785073,250
4.785073,353.5534
4.785073,559.01697
4.785073,707.1068
4.785073,559.01697
4.785073,500
4.785073,559.01697
4.785073,707.1068
3.540786,707.1068
3.540786,559.01697
3.5508008,500
3.5508008,559.01697
3.5508008,707.1068
3.540786,559.01697
3.540786,353.5534
3.5508008,250
3.5508008,353.5534
3.5508008,559.01697
3.540786,500
3.540786,250
3.5508008,0
3.5508008,250
3.5508008,500
3.540786,559.01697
3.540786,353.5534
3.5508008,250
3.5508008,353.5534
3.5508008,559.01697
3.540786,707.1068
3.540786,559.01697
3.5508008,500
3.5508008,559.01697
3.5508008,707.1068
3.7745707,707.1068
3.7745707,559.01697
3.7745707,500
3.7745707,559.01697
3.7745707,707.1068
3.7745707,559.01697
3.7745707,353.5534
3.7745707,250
3.7745707,353.5534
3.7745707,559.01697
3.7745707,500
3.7745707,250
3.7745707,0
3.7745707,250
3.7745707,500
3.7745707,559.01697
3.7745707,353.5534
3.7745707,250
3.7745707,353.5534
3.7745707,559.01697
3.81188,707.1068
3.81188,559.01697
3.81188,500
3.81188,559.01697
3.81188,707.1068
4.875395,707.1068
4.875395,559.01697
4.875395,500
4.875395,559.01697
4.875395,707.1068
4.875395,559.01697
4.875395,353.5534
4.875395,250
4.875395,353.5534
4.875395,559.01697
4.875395,500
4.875395,250
4.875395,0
4.875395,250
4.875395,500
4.875395,559.01697
4.875395,353.5534
4.875395,250
4.875395,353.5534
4.875395,559.01697
4.875395,707.1068
4.875395,559.01697
4.875395,500
4.875395,559.01697
4.875395,707.1068
4.0290456,707.1068
4.0290456,559.01697
4.0290456,500
4.0290456,559.01697
4.0290456,707.1068
4.0290456,559.01697
4.0290456,353.5534
4.0290456,250
4.0290456,353.5534
4.0290456,559.01697
4.0290456,500
4.0290456,250
4.0290456,0
4.0290456,250
4.0290456,500
4.0290456,559.01697
4.0290456,353.5534
4.0290456,250
4.0290456,353.5534
4.0290456,559.01697
4.0290456,707.1068
4.0290456,559.01697
4.0290456,500
4.0290456,559.01697
4.0290456,707.1068
4.307948,707.1068
4.307948,559.01697
4.1973395,500
4.1973395,559.01697
4.1973395,707.1068
4.307948,559.01697
4.307948,353.5534
4.1973395,250
4.1973395,353.5534
4.1973395,559.01697
4.307948,500
4.307948,250
4.1973395,0
4.1973395,250
4.1973395,500
4.307948,559.01697
4.307948,353.5534
4.1973395,250
4.1973395,353.5534
4.1973395,559.01697
4.307948,707.1068
4.307948,559.01697
4.1973395,500
4.1973395,559.01697
4.1973395,707.1068
4.577315,707.1068
4.577315,559.01697
4.577315,500
4.511513,559.01697
4.511513,707.1068
4.577315,559.01697
4.577315,353.5534
