cond_mt_lowcrust_conus117_250m,NegSite_Distance
3.864921,707.1068
3.864921,587.67523
3.864921,500
3.864921,587.67523
3.864921,707.1068
4.055226,587.67523
4.055226,353.5534
4.055226,250
4.055226,353.5534
4.055226,587.67523
4.055226,707.1068
4.055226,587.67523
4.055226,500
4.055226,587.67523
4.055226,707.1068
4.371218,707.1068
4.371218,587.67523
4.371218,500
4.371218,587.67523
4.371218,707.1068
4.371218,587.67523
4.371218,353.5534
4.371218,250
4.371218,353.5534
4.371218,587.67523
4.371218,500
4.371218,250
4.371218,0
4.371218,250
4.371218,500
4.371218,587.67523
4.371218,353.5534
4.371218,250
4.371218,353.5534
4.371218,587.67523
4.371218,707.1068
4.371218,587.67523
4.371218,500
4.371218,587.67523
4.371218,707.1068
3.994263,707.1068
3.994263,587.67523
3.994263,500
3.994263,587.67523
3.994263,707.1068
3.994263,587.67523
3.994263,353.5534
3.994263,250
3.994263,353.5534
3.994263,587.67523
3.994263,500
3.994263,250
3.994263,0
3.994263,250
3.994263,500
3.994263,587.67523
3.994263,353.5534
3.994263,250
3.994263,353.5534
3.994263,587.67523
3.994263,707.1068
3.994263,587.67523
3.994263,500
3.994263,587.67523
3.994263,707.1068
4.2798786,707.1068
4.2798786,587.67523
4.2798786,500
4.2798786,587.67523
4.2798786,707.1068
4.2798786,587.67523
4.2798786,353.5534
4.2798786,250
4.2798786,353.5534
4.2798786,587.67523
4.2798786,500
4.2798786,250
4.2798786,0
4.2798786,250
4.2798786,500
4.2798786,587.67523
4.2798786,353.5534
4.2798786,250
4.2798786,353.5534
4.2798786,587.67523
4.2798786,707.1068
4.2798786,587.67523
4.2798786,500
4.2798786,587.67523
4.2798786,707.1068
4.2324286,707.1068
4.2615356,587.67523
4.2615356,500
4.2615356,587.67523
4.2615356,707.1068
4.2324286,587.67523
4.2615356,353.5534
4.2615356,250
4.2615356,353.5534
4.2615356,587.67523
4.2324286,500
4.2615356,250
4.2615356,0
4.2615356,250
4.2615356,500
4.2324286,587.67523
4.2615356,353.5534
4.2615356,250
4.2615356,353.5534
4.2615356,587.67523
4.2324286,707.1068
4.2615356,587.67523
4.2615356,500
4.2615356,587.67523
4.2615356,707.1068
4.875395,707.1068
4.875395,587.67523
4.875395,500
4.875395,587.67523
4.875395,707.1068
4.875395,587.67523
4.875395,353.5534
4.875395,250
4.875395,353.5534
4.875395,587.67523
4.875395,500
4.875395,250
4.875395,0
4.875395,250
4.875395,500
4.875395,587.67523
4.875395,353.5534
4.875395,250
4.875395,353.5534
4.875395,587.67523
4.875395,707.1068
4.875395,587.67523
4.875395,500
4.875395,587.67523
4.875395,707.1068
3.9862912,707.1068
3.9862912,587.67523
3.9862912,500
3.9862912,587.67523
3.9862912,707.1068
3.9862912,587.67523
3.9862912,353.5534
3.9862912,250
3.9862912,353.5534
3.9862912,587.67523
3.9862912,500
3.9862912,250
3.9862912,0
3.9862912,250
3.9862912,500
3.9862912,587.67523
3.9862912,353.5534
3.9862912,250
3.9862912,353.5534
3.9862912,587.67523
3.9862912,707.1068
3.9862912,587.67523
3.9862912,500
3.9862912,587.67523
3.9862912,707.1068
3.6450717,707.1068
3.6450717,587.67523
3.6450717,500
3.6450717,587.67523
3.6450717,707.1068
4.180615,587.67523
4.180615,353.5534
4.180615,250
4.180615,353.5534
4.180615,587.67523
4.180615,500
4.180615,250
4.180615,0
4.180615,250
